,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
100,Steven Knight Griffin,GA,U.S. House Georgia District 6,Representative,Regular,5/22/18,Lost,None,0,-9.4799995,6.9499998,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,No,,,,,,,,,,,4
101,Carolyn Bourdeaux,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Advanced,1,-12.73,27.280001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,Yes,,,,,No,,,,,,,6
102,David Kim,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Advanced,Lost,0,-12.73,25.98,No,1,0.0,0.0,0.0,1,0.0,0.0,,No,,,,,No,,,,,,,6
103,Ethan Pham,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,17.84,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,6
104,Kathleen Allen,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,11.02,No,0,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,Yes,,,,,,,6
105,Melissa Davis,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,13.67,No,1,0.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,6
106,Steve Reilly,GA,U.S. House Georgia District 7,Representative,Regular,5/22/18,Lost,None,0,-12.73,4.1999998,No,0,1.0,0.0,0.0,0,0.0,0.0,,No,,,,,No,,,,,,,6
107,Dave Cooper,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Lost,None,0,-60.810001,47.27,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,No,,,Yes,,,,2
108,Josh McCall,GA,U.S. House Georgia District 9,Representative,Regular,5/22/18,Advanced,None,1,-60.810001,52.73,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,No,,,,2
109,Abby Finkenauer,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Advanced,None,1,-1.73,66.800003,Yes,0,0.0,0.0,1.0,0,0.0,0.0,Yes,Yes,,Yes,,,,,,,,,,4
110,Courtney Rowe,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,7.5900002,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,,No,,,,Yes,,,,,,4
111,George Ramsey,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,6.3699999,No,1,1.0,0.0,0.0,0,0.0,0.0,No,No,,No,,,,,,,,,,4
112,Thomas Heckroth,IA,U.S. House Iowa District 1,Representative,Regular,6/5/18,Lost,None,0,-1.73,19.120001,No,0,0.0,0.0,0.0,0,0.0,1.0,No,No,,No,,,,,,,,,,4
113,Cindy Axne,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Advanced,None,1,-4.1100001,57.799999,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,,,No,No,,,,,,,3
114,Eddie Mauro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,0,-4.1100001,26.35,No,0,0.0,0.0,0.0,1,0.0,0.0,No,No,,,,No,No,,,,,,,3
115,Pete D'Alessandro,IA,U.S. House Iowa District 3,Representative,Regular,6/5/18,Lost,None,0,-4.1100001,15.58,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,Yes,Yes,,,,,,,3
116,J.D. Scholten,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Advanced,None,1,-25.110001,51.259998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,,,,Yes,,,3
117,John Paschen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,0,-25.110001,16.719999,No,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,No,,,,No,,,3
118,Leann Jacobsen,IA,U.S. House Iowa District 4,Representative,Regular,6/5/18,Lost,None,0,-25.110001,31.92,No,0,0.0,0.0,1.0,0,0.0,0.0,,,,,,,No,,,,No,,,3
119,Christina McNeil,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Advanced,None,1,-39.43,69.699997,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
120,James Vandermaas,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,0,-39.43,15.8,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
121,Michael Smith,ID,U.S. House Idaho District 1,Representative,Regular,5/15/18,Lost,None,0,-39.43,14.5,No,0,1.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,3
122,Aaron Swisher,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Advanced,None,1,-28.809999,67.599998,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
123,Peter Rickards,ID,U.S. House Idaho District 2,Representative,Regular,5/15/18,Lost,None,0,-28.809999,32.400002,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,2
124,Brendan Kelly,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Advanced,None,1,-13.26,81.0,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,Yes,,,,,,,,Yes,,2
125,David Bequette,IL,U.S. House Illinois District 12,Representative,Regular,3/20/18,Lost,None,0,-13.26,19.0,No,0,1.0,0.0,0.0,0,0.0,0.0,No,,,No,,,,,,,,No,,2
126,Angel Sides,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,4.1999998,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,5
127,Betsy Londrigan,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Advanced,None,1,-6.73,45.700001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,Yes,Yes,,,,,,No,,,,,,5
128,David Gill,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,14.4,No,0,0.0,0.0,0.0,0,1.0,0.0,No,No,,,,,,Yes,,,,,,5
129,Erik Jones,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,22.4,No,0,0.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,5
130,Jonathan Ebel,IL,U.S. House Illinois District 13,Representative,Regular,3/20/18,Lost,None,0,-6.73,13.3,No,0,1.0,0.0,0.0,0,0.0,0.0,No,No,,,,,,No,,,,,,5
