,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,total_runners
95,Cary Kennedy,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,0.0,2.49,24.719999,No,0.0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4
96,Donna Lynne,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,0.0,2.49,7.2800002,No,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
97,Jared Polis,CO,Governor of Colorado,Governor,Regular,6/26/18,Advanced,None,1.0,2.49,44.43,Yes,0.0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
98,Michael Johnston,CO,Governor of Colorado,Governor,Regular,6/26/18,Lost,None,0.0,2.49,23.57,No,0.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4
99,Joe Neguse,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Advanced,None,1.0,18.040001,65.82,Yes,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
100,Mark Williams,CO,U.S. House Colorado District 2,Representative,Regular,6/26/18,Lost,None,0.0,18.040001,34.18,No,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
101,Arn Menconi,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,0.0,-13.03,8.2200003,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
102,Diane Mitsch Bush,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Advanced,None,1.0,-13.03,64.099998,Yes,0.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3
103,Karl Hanlon,CO,U.S. House Colorado District 3,Representative,Regular,6/26/18,Lost,None,0.0,-13.03,27.68,No,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
104,Chase Kohne,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Lost,None,0.0,-24.68,35.32,No,0.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
