,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,Primary Runoff Status,General Status,Partisan Lean,Primary %,Won Primary,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,Party Support?,Emily Endorsed?,Guns Sense Candidate?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?,No Labels Support?,dist_num,District Abbrev,total_runners
79,karen mccormick,CO,U.S. House Colorado District 4,Representative,Regular,6/26/18,Advanced,None,1,-24.68,64.629997,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,4,CO-4,2
81,jason crow,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Advanced,None,1,5.4200001,65.940002,Yes,0,1.0,0.0,0.0,0,0.0,0.0,Yes,,,,,,No,,,,,Yes,,6,CO-6,2
82,levi tillemann,CO,U.S. House Colorado District 6,Representative,Regular,6/26/18,Lost,None,0,5.4200001,34.060001,No,0,0.0,0.0,0.0,0,1.0,1.0,No,,,,,,Yes,,,,,No,,6,CO-6,2
83,barbara seidman,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Lost,None,0,-17.379999,32.459999,No,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,No,No,No,,,,1,GA-1,2
84,lisa ring,GA,U.S. House Georgia District 1,Representative,Regular,5/22/18,Advanced,None,1,-17.379999,67.540001,Yes,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,Yes,Yes,No,Yes,,,,1,GA-1,2
85,chalis montgomery,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,0,-28.209999,26.459999,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,10,GA-10,3
86,richard dien winfield,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Lost,None,0,-28.209999,23.33,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,10,GA-10,3
87,tabitha johnson-green,GA,U.S. House Georgia District 10,Representative,Regular,5/22/18,Advanced,None,1,-28.209999,50.200001,Yes,0,0.0,0.0,0.0,0,1.0,0.0,,,,,,,,,,,,,,10,GA-10,3
89,francys johnson,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Advanced,None,1,-17.629999,52.860001,Yes,1,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,12,GA-12,3
90,robert ingham,GA,U.S. House Georgia District 12,Representative,Regular,5/22/18,Lost,None,0,-17.629999,31.15,No,0,0.0,0.0,0.0,0,0.0,0.0,,,,,,,,,,,,,,12,GA-12,3
