,Candidate,State,District,Office Type,Race Type,Race Primary Election Date,Primary Status,General Status,CAND_CONTRIB,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,INDIV_REFUNDS,CMTE_REFUNDS,CVG_END_DT,Emily Endorsed?,Biden Endorsed?,Warren Endorsed? ,Sanders Endorsed?,Our Revolution Endorsed?,Justice Dems Endorsed?,PCCC Endorsed?,Indivisible Endorsed?,WFP Endorsed?,VoteVets Endorsed?
122,MIKE MCCAMON,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,1049.85,0.0,0.0,0.0,0.0,12/31/2018,No,,,No,No,No,No,No,,
123,SHARICE DAVIDS,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,431469.13,5000.0,26788.76,0.0,12/31/2018,Yes,,,No,No,No,No,Yes,,
124,SYLVIA WILLIAMS,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,1132.32,0.0,0.0,2700.0,0.0,08/27/2018,No,,,No,No,No,No,No,,
125,TOM NIERMANN,KS,U.S. House Kansas District 3,Representative,Regular,8/7/18,Lost,,0.0,5000.0,0.0,85254.0,0.0,09/30/2018,No,,,No,No,No,No,Yes,,
126,JAMES THOMPSON,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Advanced,On the Ballot,0.0,65302.97,3000.0,16828.5,0.0,12/31/2018,,,,Yes,Yes,Yes,,,,
127,LAURA LOMBARD,KS,U.S. House Kansas District 4,Representative,Regular,8/7/18,Lost,,1325.0,1250.0,0.0,7900.0,0.0,12/31/2018,,,,No,No,No,,,,
128,PAUL WALKER,KY,U.S. House Kentucky District 1,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,6500.0,2650.0,0.0,0.0,12/31/2018,,,,,Yes,,,Yes,,
129,GRANT SHORT,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,,0.0,0.0,0.0,0.0,0.0,06/22/2018,,,,,Yes,,,,,
130,HANK LINDERMAN,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,13471.95,600.0,0.0,0.0,12/31/2018,,,,,No,,,,,
131,RANE SESSIONS,KY,U.S. House Kentucky District 2,Representative,Regular,5/22/18,Lost,,2098.2,0.0,0.0,100.0,0.0,05/23/2018,,,,,No,,,,,
132,PATTI PIATT,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Lost,,14600.0,1200.0,0.0,0.0,0.0,05/24/2018,,,,,,,,,,
133,SETH HALL,KY,U.S. House Kentucky District 4,Representative,Regular,5/22/18,Advanced,On the Ballot,0.0,2600.0,1000.0,0.0,0.0,11/29/2018,,,,,,,,,,
134,KENNETH STEPP,KY,U.S. House Kentucky District 5,Representative,Regular,5/22/18,Advanced,On the Ballot,574.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,,,,,,
135,AMY MCGRATH,KY,U.S. House Kentucky District 6,Representative,Regular,5/22/18,Advanced,On the Ballot,3572.5,390961.11,0.0,71595.8,2400.0,12/31/2018,,,,,,,,,,Yes
136,ALLISON GALBRAITH,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,102.0,0.0,0.0,0.0,0.0,12/31/2018,,,,,No,,,,,No
137,JESSE COLVIN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Advanced,On the Ballot,0.0,86555.05,0.0,1500.0,0.0,12/31/2018,,,,,No,,,,,Yes
138,MICHAEL BROWN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,135.0,0.0,0.0,0.0,0.0,06/27/2018,,,,,No,,,,,No
139,MICHAEL PULLEN,MD,U.S. House Maryland District 1,Representative,Regular,6/26/18,Lost,,30001.47,0.0,0.0,500.0,0.0,09/30/2018,,,,,Yes,,,,,No
